respondent_id,response_text,human_code_label,human_code,notes,llm_code_label,confidence,llm_code,gender,gender_label,race,race_label,marital_status,marital_status_label,income,income_label,education,education_label,occupation_status,occupation_status_label,age,party_id,party_id_label
140001,immigration we can't take care of our own people yet alone a million others ,,,,Unclear,Low,10,1,man,3,hispanic,1,married,5,"$100,000-$249,999",4,bachelor's degree,1,working now,50,7,strong repbulican
140002,"The cost of everything, people can not afford groceries or housing basic needs to live. When more than half or your check is going to food you can not plan and save for emergencies.",,,,Unclear,Low,10,2,woman,4,asian,1,married,5,"$100,000-$249,999",3,some college,1,working now,41,4,independent
140003,threats to democracy ,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",3,some college,7,homemaker,44,1,strong democrat
140004,economy and leadership. ,,,,Unclear,Low,10,1,man,4,asian,1,married,3,"$30,000-$59,999",3,some college,1,working now,45,6,not very strong republican
140005,"Economy, Border, ",,,,Economy,High,1,1,man,1,"white, non-hispanic",2,widowed,3,"$30,000-$59,999",5,graduate degree,5,retired,80,5,independent republican
140006,Donald trump and elon musk,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",3,divorced,3,"$30,000-$59,999",3,some college,5,retired,75,3,independent democrat
140007,"immigration, education, health",,,,Immigration,High,6,2,woman,1,"white, non-hispanic",1,married,3,"$30,000-$59,999",3,some college,1,working now,41,4,independent
140008,minimum wage is way too low for the cost of living ,,,,Economy,High,1,2,woman,1,"white, non-hispanic",1,married,2,"$10,000-$29,999",3,some college,1,working now,49,6,not very strong republican
140010,"justice system no one is held accountable when someone innocent is sent to jail, close the border. give citizenship to those people who haven't committed any crimes and have been productive in society. and quit getting involved in other peoples conflicts.",,,,Crime,High,5,1,man,3,hispanic,5,never married,1,"under $9,999",2,high school,6,permanently disabled,45,3,independent democrat
140011,a lot of people are evil. And because of other people letting them get away with it gives them the idea their allowed to do anything so bad people deserve to die. Or try make them suffer in the worst ways imaginable.,,,,Unclear,Low,10,2,woman,3,hispanic,1,married,4,"$60,000-$99,999",2,high school,1,working now,41,1,strong democrat
140012,"Hatred toward LGT,  Communities, and deportations, lack of care about education, healthcare and insurance costs ",,,,Social Issues,High,4,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",2,high school,1,working now,59,2,not very strong democrat
140013,financial money jobs housing food,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",5,never married,1,"under $9,999",2,high school,4,unemployed,34,5,independent republican
140014,"lack of proper education, climate change, racism, etc. ",Environment,7,multiple problems,Unclear,Low,10,1,man,4,asian,1,married,6,"$250,000 or more",5,graduate degree,1,working now,42,3,independent democrat
140016,illegal immigration ,,,,Immigration,High,6,1,man,3,hispanic,1,married,3,"$30,000-$59,999",3,some college,5,retired,70,7,strong repbulican
140017,the dismantling of government by maga,,,,Politics/Democracy,High,3,1,man,1,"white, non-hispanic",1,married,6,"$250,000 or more",4,bachelor's degree,1,working now,58,3,independent democrat
140018,income inequality ,,,,Economy,High,1,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",4,bachelor's degree,1,working now,59,1,strong democrat
140019,"Inflation, deficit spending, poor judicial appointments, shoring up Medicare and social security, Rx costs.",,,,Economy,High,1,2,woman,1,"white, non-hispanic",1,married,4,"$60,000-$99,999",4,bachelor's degree,5,retired,66,2,not very strong democrat
140021,Handouts allowing people to stay at home and collect money when they could be working. ,Economy,1,,Unclear,Low,10,1,man,3,hispanic,5,never married,5,"$100,000-$249,999",4,bachelor's degree,1,working now,35,7,strong repbulican
140023,"Economic Inequality, Impending climate catastrophe, Fascism, Imperialism, the Military-Industrial Complex, Big Tech, Big Pharma, Foreign Influence, Radicalization of Federal Judges/The Supreme Court, Declining standard of living and dollar value, Selling out of future generations to fund Social Security and other Retirement programs from which we will never reap the benefits, Invasive Species, Wildfires, Christian Nationalism, and MORE!",,,,Unclear,Low,10,1,man,1,"white, non-hispanic",5,never married,5,"$100,000-$249,999",5,graduate degree,1,working now,28,3,independent democrat
140026,"Disconnect between Ultra conservative"" lawmakers and the people they are supposed to represent""",,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,3,"$30,000-$59,999",4,bachelor's degree,5,retired,77,1,strong democrat
140027,economy inflation is very high,,,,Economy,High,1,2,woman,1,"white, non-hispanic",2,widowed,-9,refused,2,high school,5,retired,76,7,strong repbulican
140028,economics and illegal immigration,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",4,bachelor's degree,1,working now,54,6,not very strong republican
140029,"Threat to democracy, Climate change, Conflict in Ukraine/  Middle-east / Sudan / sub-saharan Africa",,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",5,graduate degree,5,retired,70,5,independent republican
140030,"health insurance, social security and education",,,,Unclear,Low,10,1,man,3,hispanic,1,married,2,"$10,000-$29,999",2,high school,1,working now,45,2,not very strong democrat
140032,prioritizing the existince of government over the welfare of humanity,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",3,divorced,5,"$100,000-$249,999",2,high school,1,working now,49,5,independent republican
140033,"With the re nomination of Pres. elect Trump, we, as a Republic, are veering towards an autocracy",,,,Politics/Democracy,High,3,2,woman,1,"white, non-hispanic",5,never married,2,"$10,000-$29,999",5,graduate degree,1,working now,50,1,strong democrat
140034,illegal immigration and the economy,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",4,bachelor's degree,1,working now,70,7,strong repbulican
140035,"polarization, inability to compromise for the common good",,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",3,divorced,5,"$100,000-$249,999",5,graduate degree,1,working now,64,3,independent democrat
140037,health issues so many people are living below the acceptable line of property value,,,,Healthcare,Medium,2,2,woman,2,"black, non-hispanic",1,married,6,"$250,000 or more",3,some college,5,retired,75,2,not very strong democrat
140038,far right ideology,,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",5,never married,4,"$60,000-$99,999",5,graduate degree,1,working now,32,2,not very strong democrat
140039,"A second Trump presidency coupled with control of the Senate, the House of Representatives and the Supreme Court.",,,,Unclear,Low,10,2,woman,1,"white, non-hispanic",1,married,3,"$30,000-$59,999",5,graduate degree,5,retired,77,1,strong democrat
140040,The southern border ,,,,Immigration,High,6,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",4,bachelor's degree,5,retired,78,6,not very strong republican
140043,"inflation, cost of living",,,,Unclear,Low,10,1,man,1,"white, non-hispanic",3,divorced,1,"under $9,999",5,graduate degree,1,working now,52,7,strong repbulican
140044,health care and meeting basic needs ,,,,Healthcare,Medium,2,2,woman,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",4,bachelor's degree,1,working now,57,7,strong repbulican
140046,Inflation and high interest rates ,,,,Economy,High,1,1,man,1,"white, non-hispanic",1,married,1,"under $9,999",1,less than high school,1,working now,-2,7,strong repbulican
140048,as a country we are not taking the risk of global warming seriously enough.  we are not doing enough.,,,,Environment,High,7,1,man,1,"white, non-hispanic",1,married,6,"$250,000 or more",4,bachelor's degree,1,working now,42,3,independent democrat
140049,"economy, inflation, weak school system, boundary security, and illegal immigrants ",,,,Economy,High,1,2,woman,4,asian,5,never married,4,"$60,000-$99,999",4,bachelor's degree,1,working now,46,7,strong repbulican
140050,The politicians repond to groups that support them strongly monitarily versus stragegically.,,,,Unclear,Low,10,1,man,1,"white, non-hispanic",1,married,5,"$100,000-$249,999",5,graduate degree,5,retired,74,3,independent democrat
140052,The country will soon be led by a want to be dictator with no sense of right or wrong.,,,,Politics/Democracy,High,3,2,woman,2,"black, non-hispanic",5,never married,-9,refused,5,graduate degree,1,working now,-2,1,strong democrat
