respondent_id,response_text,human_code,human_code_label,notes,llm_code
239119,illegal immigration ,6,Immigration,,Immigration
141685,don't know what to write ,9,Other,,Unclear
367473,"Education. /ms/ I think that the better educated people are, the better decisions they make on the national and international level. Most people are not educated; they read poorly; they are easy to persuade because they don't know facts.",9,Other,,Other
209010,illegal migrants,6,Immigration,,Immigration
344859,The definition of abortion affecting women's safety /tell/ That women who need DNC after a miscarriage are having trouble getting that because physicians are not wanting to perform that procedure. ,2,Healthcare,,Healthcare
371522,The environment/tm/the whales are dying/ae/the plastic waste ending up in oceans,7,Environment,,Environment
207848,conservative values,4,Social Issues,,Social Issues
210183,"social issues, injustice, polarizing politics, fading middle class, immigration ",4,Social Issues,multiple problems,Social Issues
141600,"economy, health care, and schools ",1,Economy,multiple problems,Economy
226238,SK,10,Unclear,,Unclear
213447,illegal immigrant,6,Immigration,,Immigration
141055,Christian fascism and MAGA extremism have taken over the country.   oligarchs and the government are too close,3,Politics/Democracy,,Politics/Democracy
142008,The economy and the border crisis,1,Economy,multiple problems,Economy
220778,National security. Both from foreign adversaries and at the borders.,8,Foreign Policy,,Foreign Policy
220922,"education, inflation, peace, gun reform, trump in office, protect women sports, out of restrooms",4,Social Issues,multiple problems,Economy
349414,"No money for the middle class an the poor. Financing I guess you can call it. We're trying to live on a low income on high dollar products. We've gotta get these things down to where they're more affordable. How I dont really know, but theres got to be a way. ",1,Economy,,Economy
214063,electoral processes,3,Politics/Democracy,,Politics/Democracy
141798,"immigration, moral decline, inflation, corruption in government ",6,Immigration,multiple problems,Immigration
347601,"not coming to agreement, a lot of argument, very one-sided",4,Social Issues,division,Social Issues
140145,We are too divide in this country right now.,4,Social Issues,division,Social Issues
370887,"Unity among all of us. /ms/ You know, coming together for the good of all people. Just learning to listen to each other.",4,Social Issues,division,Social Issues
202111,America has a morality issue in my opinion based on the 2024 election results. ,3,Politics/Democracy,,Politics/Democracy
227572,economy and undocumented allies ,1,Economy,multiple problems,Economy
329404,Money problem; They say they dont have money but they always iv e money tp phter countries. I nstead of hlping the poeple here they help somewhere else. Like no they finna take social security and everything from old people. Theyfinna start a war around here. They doing very poor for us cirixzens on the money tip.,1,Economy,,Economy
319509,"The taxes to the rich and corporations, I think it's unfair to the regular person.",1,Economy,,Economy
207361,"income, police brutality, and the cost of living ",1,Economy,,Economy
214968,inflation too damned high,1,Economy,,Economy
142078,economy. prices are ridiculously high on most things. ,1,Economy,,Economy
396669,Trust in others,4,Social Issues,,Social Issues
141192,The dismantling of democracy and it's safeguards.,3,Politics/Democracy,,Politics/Democracy
140474,project 2025 Donald Trump,3,Politics/Democracy,,Unclear
227877,"Demonization of expertise, experience, and research/evidence-based learning/processing/governing. ",4,Social Issues,science,Social Issues
141810,"inflation, illegal immigration, endless support of wars, supporting World economic forum, We need term limits for all politicians, Judicial system has become Weaponized, needs to be laws against lobbying. ",3,Politics/Democracy,multiple problems,Economy
317777,"Division is the worst /tm/ yeah, how do I put that... there's too much division between the different people, the blacks, the whites, the koreans, chinese, all of those, there's too much division, we are one country, and everyone is the same as a citizen /ao/ basically that's it. We need to go back to the constitution and get rid of all of the people in any kind of an office who does not coincide with the constitution",4,Social Issues,division,Social Issues
142139,the people in power have all forgotten that their positions are in SERVICE to their constituents. all of them - Dems and GOP are too busy playing games with one another to ensure justice for all.,3,Politics/Democracy,,Politics/Democracy
222436,"boder, police and corruption",6,Immigration,multiple problems,Immigration
140225,40% tax and how everyone is broke,1,Economy,tax issues,Economy
140156,"inflation and economy, wasteful spending",1,Economy,,Economy
221768,I fear we are going backwards with taking peoples rights away and how bad our economy is getting ,3,Politics/Democracy,multiple problems,Politics/Democracy
222502,ECONOMY.  GET RID OF ELECTRIC AUTOMOBILES.,1,Economy,,Economy
140760,Donald Trump who is not competent intelligently nor psychologically.  He is a sociopath and is only concerned about himself. I thought it was joke when I learned he was running for president the first time. ,3,Politics/Democracy,,Politics/Democracy
362679,Healthcare and lack of regulations on big business and education the supreme court is a disaster. Health care is not universal and a great country provide for their people.,2,Healthcare,,Healthcare
201019,Fundamental Human Rights Values,3,Politics/Democracy,,Other
223092,I think the biggest problem is the cost of living. ,1,Economy,,Economy
140835,"rent increase, food inflation, good paying jobs, feeling safe in our communities, ",1,Economy,multiple problems,Economy
