respondent_id,response_text
140001,immigration we can't take care of our own people yet alone a million others 
140002,"The cost of everything, people can not afford groceries or housing basic needs to live. When more than half or your check is going to food you can not plan and save for emergencies."
140003,threats to democracy 
140004,economy and leadership. 
140005,"Economy, Border, "
140006,Donald trump and elon musk
140007,"immigration, education, health"
140008,minimum wage is way too low for the cost of living 
140010,"justice system no one is held accountable when someone innocent is sent to jail, close the border. give citizenship to those people who haven't committed any crimes and have been productive in society. and quit getting involved in other peoples conflicts."
140011,a lot of people are evil. And because of other people letting them get away with it gives them the idea their allowed to do anything so bad people deserve to die. Or try make them suffer in the worst ways imaginable.
140012,"Hatred toward LGT,  Communities, and deportations, lack of care about education, healthcare and insurance costs "
140013,financial money jobs housing food
140014,"lack of proper education, climate change, racism, etc. "
140016,illegal immigration 
140017,the dismantling of government by maga
140018,income inequality 
140019,"Inflation, deficit spending, poor judicial appointments, shoring up Medicare and social security, Rx costs."
140021,Handouts allowing people to stay at home and collect money when they could be working. 
140023,"Economic Inequality, Impending climate catastrophe, Fascism, Imperialism, the Military-Industrial Complex, Big Tech, Big Pharma, Foreign Influence, Radicalization of Federal Judges/The Supreme Court, Declining standard of living and dollar value, Selling out of future generations to fund Social Security and other Retirement programs from which we will never reap the benefits, Invasive Species, Wildfires, Christian Nationalism, and MORE!"
140026,"Disconnect between Ultra conservative"" lawmakers and the people they are supposed to represent"""
140027,economy inflation is very high
140028,economics and illegal immigration
140029,"Threat to democracy, Climate change, Conflict in Ukraine/  Middle-east / Sudan / sub-saharan Africa"
140030,"health insurance, social security and education"
140032,prioritizing the existince of government over the welfare of humanity
140033,"With the re nomination of Pres. elect Trump, we, as a Republic, are veering towards an autocracy"
140034,illegal immigration and the economy
140035,"polarization, inability to compromise for the common good"
140037,health issues so many people are living below the acceptable line of property value
140038,far right ideology
140039,"A second Trump presidency coupled with control of the Senate, the House of Representatives and the Supreme Court."
140040,The southern border 
140043,"inflation, cost of living"
140044,health care and meeting basic needs 
140046,Inflation and high interest rates 
140048,as a country we are not taking the risk of global warming seriously enough.  we are not doing enough.
140049,"economy, inflation, weak school system, boundary security, and illegal immigrants "
140050,The politicians repond to groups that support them strongly monitarily versus stragegically.
140052,The country will soon be led by a want to be dictator with no sense of right or wrong.
