respondent_id,response_text,llm_code_label,confidence,raw_model_output
140001,immigration we can't take care of our own people yet alone a million others ,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Immigration"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response explicitly mentions 'immigration' and concerns about taking care of people, indicating immigration is the main issue.""
}
```"
140002,"The cost of everything, people can not afford groceries or housing basic needs to live. When more than half or your check is going to food you can not plan and save for emergencies.",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response focuses on the high cost of living, affordability of groceries and housing, and financial strain, which are economic issues.""
}
```"
140003,threats to democracy ,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Politics/Democracy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response explicitly mentions 'threats to democracy,' which directly relates to political institutions and democratic processes.""
}
```"
140004,economy and leadership. ,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions 'economy' and 'leadership'; per rule 2, code the most emphasized issue, which is economy as it is mentioned first.""
}
```"
140005,"Economy, Border, ",Economy,High,"The response mentions 'Economy' first and 'Border' second; per rules, code the first emphasized issue, which is Economy."
140006,Donald trump and elon musk,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Other"",
  ""confidence"": ""Medium"",
  ""raw_model_output"": ""The response mentions two individuals without specifying an issue; it does not clearly fit any defined category.""
}
```"
140007,"immigration, education, health",Immigration,High,Multiple issues mentioned; immigration is listed first and thus coded as the most emphasized issue.
140008,minimum wage is way too low for the cost of living ,Economy,High,"The response focuses on minimum wage and cost of living, which are economic issues."
140010,"justice system no one is held accountable when someone innocent is sent to jail, close the border. give citizenship to those people who haven't committed any crimes and have been productive in society. and quit getting involved in other peoples conflicts.",Crime,High,"The response emphasizes issues with the justice system and wrongful incarceration, which falls under Crime. Although it also mentions immigration and foreign policy, the first and most emphasized issue is crime-related."
140011,a lot of people are evil. And because of other people letting them get away with it gives them the idea their allowed to do anything so bad people deserve to die. Or try make them suffer in the worst ways imaginable.,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Crime"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response focuses on 'bad people' and punishment, implying issues related to crime and public safety.""
}
```"
140012,"Hatred toward LGT,  Communities, and deportations, lack of care about education, healthcare and insurance costs ",Social Issues,High,"The response emphasizes hatred toward LGT communities and social divisions, which aligns with Social Issues. Although healthcare and insurance costs are mentioned, the primary emphasis is on social tensions."
140013,financial money jobs housing food,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response mentions financial issues, money, jobs, housing, and food, all of which relate to economic concerns.""
}
```"
140014,"lack of proper education, climate change, racism, etc. ",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Environment"",
  ""confidence"": ""Medium"",
  ""raw_model_output"": ""Multiple issues mentioned; climate change is a specific issue fitting Environment, education and racism are less emphasized; per rule 2, code the first emphasized specific issue, which is education but it is not a category, so next specific issue is climate change under Environment.""
}
```"
140016,illegal immigration ,Immigration,High,"The response explicitly mentions 'illegal immigration,' which falls under the Immigration category."
140017,the dismantling of government by maga,Politics/Democracy,High,"The response criticizes government actions and political leadership without specifying a policy area, fitting the Politics/Democracy category."
140018,income inequality ,Economy,High,Income inequality is an economic issue related to disparities in earnings and wealth distribution.
140019,"Inflation, deficit spending, poor judicial appointments, shoring up Medicare and social security, Rx costs.",Economy,High,"Inflation, deficit spending, Medicare, social security, and prescription costs are primarily economic issues related to finances and cost of living."
140021,Handouts allowing people to stay at home and collect money when they could be working. ,Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""The response criticizes government handouts related to work and income, which relates to economic issues such as welfare and employment.""
}
```"
140023,"Economic Inequality, Impending climate catastrophe, Fascism, Imperialism, the Military-Industrial Complex, Big Tech, Big Pharma, Foreign Influence, Radicalization of Federal Judges/The Supreme Court, Declining standard of living and dollar value, Selling out of future generations to fund Social Security and other Retirement programs from which we will never reap the benefits, Invasive Species, Wildfires, Christian Nationalism, and MORE!",Unclear,Low,"Parsing error. Raw output: ```json
{
  ""llm_code_label"": ""Economy"",
  ""confidence"": ""High"",
  ""raw_model_output"": ""Multiple issues are mentioned, but economic inequality and declining standard of living are emphasized early and relate directly to economic concerns, so Economy is chosen as the primary category.""
}
```"
