respondent_id,response_text,human_code,human_code_label,notes,llm_code,error_notes
141685,don't know what to write ,9,Other,,Unclear,rule 5: out-of-scope responses
220922,"education, inflation, peace, gun reform, trump in office, protect women sports, out of restrooms",4,Social Issues,multiple problems,Economy,"rule 1: primary issue - multiple things mentioned, but social issues mentioned the most"
140474,project 2025 Donald Trump,3,Politics/Democracy,,Unclear,rule 3: issue vs. evaluation rule
141810,"inflation, illegal immigration, endless support of wars, supporting World economic forum, We need term limits for all politicians, Judicial system has become Weaponized, needs to be laws against lobbying. ",3,Politics/Democracy,multiple problems,Economy,"rule 1: primary issue - multiple things mentioned, but politics/democracy mentioned most descriptively"
201019,Fundamental Human Rights Values,3,Politics/Democracy,,Other,rule 3: issue vs. evaluation rule
235273,Spending of monies,1,Economy,,Other,rule 3: issue vs. evaluation rule
345378,security- dont feel is as strong as we used to be to step up and protect our citizens,8,Foreign Policy,,Crime,rule 7
233683,"immigration, high rent , high Mirra gage expensive groceries. ",1,Economy,multiple problems,Immigration,"rule 1: primary issue - multiple things mentioned, but  economy mentioned most "
319050,"Government spending. Is the cause and reason why we have inflation. Its also They shouldn't spend more money than they take in. Like we have to balance our check book, they should balane their check book as well. Sending money overseas needs to stop and end. We need to help our own citizens first. There needs to be a reduction in government employment and cutting our government spending.",3,Politics/Democracy,,Economy,rule 2: specific over general - the specific concern is government spending overseas and at home
142428,lack of integrity ,10,Unclear,,Politics/Democracy,rule 4: ambiguous or vague responses
140279,economy and racial division as well as plain ignorance when it comes to anything sensible many peoples view is based on emotion,4,Social Issues,multiple problems,Economy,"rule 1: primary issue - multiple things mentioned, but social issues mentioned the most"
239089,"inflation, lack of jobs, education, and the two main political parties attempting (and succeeding) to divide the country. the main problem now is enduring another trump presidency ",3,Politics/Democracy,multiple problems,Economy,"rule 1: primary issue - multiple things mentioned, but politics/democracy mentioned most descriptively"
140942,"Abortion rights, everyone talks about the rights of the woman, but no one stands up for the rights of the unborn child, they ARE people too! And abortion is murder any way you slice it!!! The same goes for crime, all you hear about is the criminal what about the victims? And then they put them in prison for life so the people have to foot the bill, it should be let the punishment fit the crime!!! If its murder, life for life, send a message that bad criminal acts will not be tolerated!!!All they do is make more laws that the criminal don't okay in the first place and the rest of us lose our rights or privilege's because of them. ",5,Crime,multiple problems,Social Issues,"rule 1: primary issue - multiple things mentioned, but crime mentioned most descriptively"
216687,"Economy, Inflation, Immigration, US aid to foreign land. Misuse of US fund to Medicaid, Missuse of US Fund to low income household.",3,Politics/Democracy,multiple problems,Economy,"rule 1: primary issue - multiple things mentioned, but politics/democracy mentioned most descriptively"
140253,progressive agenda ,10,Unclear,,Politics/Democracy,rule 4: ambiguous or vague responses
389759,"Our inability to compromise, based on what we hear in the news media and what I hear from other people there is no middle ground. Everyone feels their position is the correct position and there is no room for compromise. AE Well, I think the loudest voices seem to get the most attention and that is part of the problem AE I seem to notice that if I go to one of the major networks FOX or MSNBC it is vilification of the pary that is not supported by that channel and there is no room for compromise AE",4,Social Issues,division,Politics/Democracy,rule 3: issue vs. evaluation rule
142137,ignorance about the implications of selfish actions,10,Unclear,,Other,rule 4: ambiguous or vague responses
141085,"Economy. Border, Crime, Immigration,Government Spending ",6,Immigration,multiple problems,Economy,"rule 1: primary issue - multiple things mentioned, but  immigration mentioned most "
141780,"Border, Economy and deficit",1,Economy,multiple problems,Immigration,"rule 1: primary issue - multiple things mentioned, but  economy mentioned most "
141967,imagration,6,Immigration,,Unclear,rule 4: ambiguous or vague responses
142555,lack of accountability ,10,Unclear,,Politics/Democracy,rule 4: ambiguous or vague responses
142326,I believe we have far too much homelessness.  I myself do not receive enough money to even rent a home. My city is pushing the poor out. Greed has consumed this town in general. ,1,Economy,,Social Issues,rule 3: issue vs. evaluation rule
